text,ad
"Today, my friends are throwing me a party. They do it every year on this date. it's not my birthday, but it is the fifth anniversary of the day I was told my cancer was in remission. And it's a day I thought I would never see.",1
You know it's going to be a bad day when you wake up looking like the picture - on your driver's license. When you accidentally stumble upon your dog's morning surprise. When you...somehow...get toothpaste in your eye. (ouch!). When your boss takes you aside...and leaves you there. But hey - this could still be your lucky day. Play cash five from the Pennsylvania lottery. Cash five has at least a 100-thousand dollar jackpot.,1
A national TV and radio campaign for the Donate A Phone program seeks to collect as many of the country's inactive cell phones as possible. The phones help domestic violence victims to get a hold of emergency assistance quickly.,1
"Every day in the United States, 3 children die as a result of maltreatment in the home, and child abuse is reported, on average, every 10 seconds. This year, approximately 3 million cases of child abuse will be reported. However, most experts believe the actual number of instances is three times that number. However, there are anonymous and confidential places to turn to for information about reporting suspected abuse. Americans should trust their instincts and act on behalf of a child, because organizations such as Childhelp USA can offer the support and information necessary to help transform a child's life.",1
"If your child's cough is getting in the way of their day, try Children's Delsym. Delsym is the number one pediatrician recommended cough medicine that helps control coughs for up to twelve hours. The formula even comes available in grape and orange flavors. For great tasting relief, try Children's Delsym.",1
"The open enrollment period for your health insurance plan comes once every year, usually during the fall. With so many insurers and employers raising health insurance premiums and scaling back benefits, you need to know how your health plan stacks.",1
"As a parent, I know what city kids face in the streets today is bad enough. And now, Mayor Guiliani wants to slash school building improvements and after-school youth programs...all of which are essential to keeping youngsters off the streets. Don't let this happen to our children's futures. Call the Mayor and your council representative. Tell them you want to put kids first, not last, when they plan the city budget. A message from CITIZENS' COMMITTEE FOR CHILDREN.",1
"Smear campaigns...mud slinging...twisting the truth.Why do politicians resort to such underhanded tactics?Do they think it really helps their campaign?It's ugly, uncalled for, and deceitful.So why do we allow them to continue?It's time to level the playing field.You want our vote? Then focus on the issues that affect all of us.This election season, advocate for a clean election process.Paid for by the committee for cleaner elections.",1
"She did what no human soldier could, and my team returned home alive. She gave so much. Doesn't she deserve a good home, too? Won't you give what you can now?",1
"For the 27 million Americans who can't read, competing in today's marketplace is nearly impossible. And unfortunately, the future for children of illiterate parents is not much brighter. You can help fight illiteracy by reading to a child. And by giving a child a book. Brought to you by THE COORS FOUNDATION FOR FAMILY LITERACY. Because a child who reads will succeed.",1
"#1 CureSearchCureSearch for Children's Cancer is a 501(c)3 U.S.-based non-profit foundation thataccelerates the search for cures for children's cancer by driving innovation, overcomingresearch barriers and solving the field's most challenging problems. We fight every dayto make new, better treatments possible for the 43 children diagnosed with cancer eachday.",1
"Today, in the United States, over 134,000 children wait in foster care for adoptive families. Many are siblings that need to stay together, others are older or may have special needs. Yet they all have something in common: a desire to be part of a permanent, loving family. If you've ever considered adopting please call 1-800-ASK-DTFA, Dave Thomas Foundation For Adoption.",1
"She doesn't talk about her bruises. She doesn't talk about her depression. She doesn't talk about her missing days at work. So how do you tell her you've noticed? If your friend is a victim of domestic abuse, talk to her about it and don't stop talking until the violence stops. To find out how, call 1-800-VIOLENCE for a free brochure.",1
"#1: My older brother had everything going for him. I always looked up to him. He just had a way with people. But last Saturday night, Tom left us ... forever. And all because of a drink he should never have had. You see, in high school, the other kids think it's cool to drink and drive. We know better. DON'T DRINK AND DRIVE. It changes everything.",1
"Ya know, I never thought John would get to this point. It used to be just a couple of drinks at a party, maybe an occasional drink after work, but he would never drive drunk, or so I thought. If I had only stopped him before he got into his car, maybe John would be here today. Friends don't let friends drive drunk.",1
"A drinking and driving conviction could cost you more than 20,000 dollars. You could lose you license, your friends, or your life. Fairfax Community council on impaired driving and the government of Fairfax want you to arrive alive. Drive sober.",1
"Drug abuse may not be an epidemic, but it is a major public health problem. The impact on American society is staggering. Each year, drug abuse kills 14,000 Americans and costs taxpayers nearly $70 billion in unnecessary health care costs, extra law enforcement, auto accidents, crime and lost productivity. Illicit drug abuse hurts families, businesses, and neighborhoods, impedes education, and chokes the criminal justice, health and social service systems. While overall use of drugs in the United States has fallen by half in the last 15 years, adolescent drug use continues at high levels. Teach your children to stay off drugs.",1
"As a parent, you want to so everything you can to keep your kids from experimenting with drugs like pot. It would be a whole lot easier if they came with instructions. But they don't. We can help. Play with them. Read to them. Sing with them. Teach them a joke. Laugh. Listen. Talk. Be involved. Call 1-800-788-2800. We'll send you information on what else parents can do. Also visit drugfreeamerica.org You can make a difference.",1
"You notice your friend has been throwing away her lunch. She's started wearing baggy clothes - all the time. She seems tired. These are warnings of an eating disorder, the deadliest mental illness we know. But early treatment is the key to recovery. And as a friend you can be the difference.",1
"A little reminder from the Environmental Defense Fund that if you're not recycling, you're throwing away a lot more than just your trash. You and your community can recycle. So for a free brochure, please call the Environmental Defense Fund at 1-800-EDF-1234.",1
"Thanks to you, all sorts of everyday products are being made from materials you've recycled. But to keep recycling working to help the environment, you need to buy those products. So look for products made from recycled materials, and buy them. It would mean the world to all of us. For a free brochure, please call 1-800-CALL-EPA.",1
"Out of all the planets in our solar system, there is but one element which sets Earth apart ... and sustains the framework of life. Our atmosphere. Within this delicate balance lie the secrets of our wildlife ... our forests ... our streams ... and our future. In over 100 million households across America, the Energy Star program allows every American to play a vital role in reducing air pollution. You can help fight air pollution by calling the EPA at 1-800-POLLUTE.",1
"Now key nutrition facts from the back of the package can also be found right up front on America's favorite brands. Making it easier for busy shoppers to make informed decisions.By knowing your daily limits for calories, sodium and fat, you can choose the foods-and the amounts-that are right for you.Go to FactsUpFront.org to find the nutrition targets for everyone in your family. Along with shopping tips, recipe ideas and more.",1
"As a dad, you'll probably spend years teaching your son how to hit a baseball. But the question is this: How much time will you spend teaching him what not to hit? Teach your son early and often that all violence against women is wrong. For tips on what to say visit www.endabuse.org.",1
"According to a recent survey, 86 percent of dads spend more time with their children today thantheir own fathers did with them. However, 7 out of 10 also reported that they could use tips onhow to be a better parent. The smallest moments can have the biggest impact on a child's life.Take time to be a dad today. For more information call 877-4DAD-411or visit fatherhood.gov.",1
"With your help we've been able to collectively impact our world and make a difference in the lives of those in need; from our local communities to nations around the globe. Providing meals to the hungry, supplying relief to those effected by natural disasters, and giving back to people right here in our own backyard. Together we can continue to make a difference in our world for generations to come.",1
"From musical instruments to furniture to flooring--all around the world--just about anything can be made out of independently certified wood that carries the Forest Stewardship Council label. It's certified wood: wood as good as the forest it comes from. A forest that has been independently certified to meet the highest standards for environmentally and socially responsible forestry. A forest that will be there for our children to use and enjoy. To protect our forests for future generations, ask for independently certified wood in your new house. Ask for the FSC label. ... Make the Forest Stewardship Council a household name. And do our forests a world of good.",1
"You don't have to be a special agent to protect our forests. Everyone can help. Ask for the Forest Stewardship Council label when you buy wooden furniture, flooring, lumber and other forest products. The nonprofit FSC label is your assurance that forests are managed well. That's why World Wildlife Fund, Greenpeace, Rainforest Alliance and the National Wildlife Federation all support the FSC. For more information, visit www.fscus.org or call toll-free 1-877-FSC-LOGO",1
"Man's best friend. Woman's best friend. Kid's best friend. Anyone living with cancer's best friend. Meet Sparkle. She's a playful pooch that'll brighten your day. Especially since Russ Berrie and Company will donate a portion of the proceeds to Gilda's Club Worldwide, a nonprofit organization that provides loving support and vital resources to people living with cancer. So put a little Sparkle in your life. Adopt her today.",1
"What do I tell my daughter?How do I begin to explain?Do I tell her that despite her education,That despite her skillsHer intelligence...And her drive,She will automatically be judged as somehow less than every man she ever meets?Or maybe, I'll be able to tell her something different.",1
"Does a hero know she's a hero if no one tells her? Do you know a hero no one else knows? A hero doesn't have to save a busload of school kids from certain disaster. Or score the winning point to the big game. A hero can be anyone who inspires you, anyone you look up to, anyone who cheers you on, makes you better than you were before--just as they made themselves better than they were before. Do you know a hero? Tell her. Then tell everyone.",1
"Will she look at magazines and think she has to be as thin as the models she sees? Think that independence makes her less desirable? Lower her expectations because she can't find women to look up to? Will she grow up questioning the things we don't? Will she be confident enough that these issues don't bother her at all? If she plays sports, if she's healthy and strong and self-assured, they won't. Being active can make a difference in the lives of women and in the lives of generations of women to come. So talk about what bothers you. Then change it.",1
"Who are you?What drives you?Is it success...? Adventure...? Connection...?Is it progress...?Do YOU want to make the world a happier place...? A more peaceful place...? A better place...?Let's make the world a GOOD place.Now is the time to make your mark... your impact... your difference...To change the world for GOOD.Harness your power... your purpose, because there has never been a better way to get started.Introducing GIVING, the world's first Philanthropy Tech company.WE. POWER. GOOD.",1
"Global Warming. We can still make a difference. If every family replaced three frequently used light bulbs with compact fluorescent bulbs, it's like taking 3.5 million cars off the road. Find out more at fightglobalwarming.com. Brought to you by Environmental Defense, the Robertson Foundation, and the Ad Council.",1
"Talk to some real soldiers about the army. You'll learn about over 200 opportunities with guaranteed skill training and all of the other benefits the army offers. Like how you can earn up to 50,000 dollars to pay for college, or up to 65,000 dollars to pay back qualified student loans. Plus you can qualify for an enlistment bonus of up to 20,000 dollars. Visit goarmy.com",1
"Every 7 minutes around the world, Habitat for Humanity serves a family in need of decent housing. Affordable housing solutions might differ from place to place, but to the families who dream of them, help build them and eventually inhabit them, they all add up to just one thing. Home.script by jamesromick",1
"In January 2010, a deadly earthquake struck Haiti. The destruction was unimaginable.Even the capitol building lies in ruins.Rubble is everywhere and people are still digging out.A quarter million dead, countless injured. Buildings, schools, and homes leveled to the ground. Survivors still living in makeshift shelters With no money to rebuild.As you head into the countryside, you can see some emergency aid is getting through...and you can see the sad but hopeful faces of children.Beyond the city, supplies can't reach people until roads are cleared.More aid is still needed. People need food and water day after day...and the water must be not just potable, but portable as well...because so many people are located in hard-to-reach places.That's why Jusuru (Joo-SOO-roo) has donated to the international relief effort. Though our chief product is a nutritional supplement, we also manufacture oxygenated water. We shipped our entire inventory to Haiti as soon as we learned about the disaster and a Jusuru team was on hand to help distribute clean water, along with clothing, sandals, toiletries, and first aid kits.To learn more about Jusuru's Giving Program, contact the person who shared this video with you.",1
"Up to 6 million homeless animals enter shelters nationwide every year. Some abandoned, some sick or injured they're just looking for a place to call home. When you rescue a shelter animal you won't just be making a difference in their life, you could be making a difference in your own. Visit your local animal shelter today and save a life",1
"I've been expecting you. Why? Don't tell me you don't recognize me? Oh! You still don't know who I am. Let me try and help you with that. I am the ill ease that you feel when you walk into a crowded room. You know. The hot and cold flushes that confuse you when you are already confused enough. I am the one that raises the whip to your already raising heart. I am the tightening of your chest. The snowballing worries that feel like they might become an avalanche and they can just bury you in an instant. My friend I am the obsessive and the compulsive. I'm the voice. You know the one. Always questioning, questioning, questioning, everything you do, everything you think. And I am every, single staring eye that watches you. So, now that we have become acquainted, what are you going to do about it?Tag: 1 in 4 people experience anxiety. And most don't know about it. You need to know anxiety to be free from it.Visit beyondblue.org.au or call 1300 22 4636.",1
"This. This is where we are. A place where parents provide beer to 17-year-olds...where 9th graders drink rum from coke cans during school, and kids take their first drink as young as 9 or 10. A place where alcohol tastes like lemonade, and doing 12 to 15 shots a night is commonplace.How did it get so far away from how you and I remember it? How did casual beer drinking turn into a hard-hitting, no rules sport? Where did the line between having fun and getting blind drunk get blurred? And how did we unknowingly get swept along?How did we land here? In this place.",1
"(Dramatic piano music. Police sirens, forensics team shuffling through evidence - picture being snapped, beeping machines, walkie talkies) Before you start an online relationship with a guy, think about how it could end.",1
"(Computer key click) That's the sound of: your classmate, forwarding a picture from your profile to everyone he knows. (Computer key click) Some guys posting graphic comments about your body. And worst of all, (Computer key click) your Dad: seeing a photo of you topless. All because of (Computer key click) the time you posted those pictures on your profile. Anything you post online, anyone can see: family, friends, and even not so friendly people.",1
"(Computer download ding) That's the sound of: your classmate receiving an attachment of you posing in your underwear. (Computer download ding) Your ex boyfriend forwarding the picture to his friends. (Computer download ding) It being sent to your coach. And worst of all, (Computer download ding) your dad . All because of (Computer download ding) the time you posted those pictures on our profile. Anything you post online, anyone can see. So think before you post. For more information visit www.cybertipline.com.",1
"Who have you inspired today? Introducing Another Kind of Hero. Just a few hours in Junior Achievement can open a whole new world of learning for kids. They understand how to start a company, how to be a leader and even how to shake a hand with confidence. Right now, we need your time in the classroom. Please volunteer. And let their success be your inspiration. To find out more about Junior Achievement's Volunteer Program, call 212-949-JANY (5269) or visit www.jany.com",1
America needs more schools that encourage our children to fulfill their promise; so they can succeed in the competitive world they'll soon faceSo call 1-800-96 Promise and we'll send you information on how you can help change the schools in your communityKEEP THE PROMISE,1
"For those with The fewest resources and greatest needs.Add a critical time in their lives when all children deserve the chance to discover their own interests and talents, be inspired and encouraged.We're an Organization with a unique story in one of the greatest cities in the world.We are LA's BEST.An after school program founded by Mayor Tom Bradley in 1988 currently engaging 25,000 elementary school students every school day and economically distressed neighborhoods across Los Angeles at no cost to their families.In long-standing partnerships with the city of Los Angeles, the Los Angeles unified school district and private sector.We help our students explore enriching activities in the arts, STEM, literacy, sports, and more.Expanding opportunities for our students with proven results.",1
"Join the team that's saving lives! The Leukemia & Lymphoma Society, and train for a marathon, bike ride or triathalon. (male v/o) Click now to visit Teamintraining.org.",1
"You see these people? They're the new generation of blood cancer patients. They live normal lives, some managing their condition with just a daily pill, thanks to the discoveries funded in part by The Leukemia & Lymphoma Society. And these discoveries apply to many different kinds of cancer. In the past 12 years, almost half the cancer therapies approved by the FDA were first approved for blood cancer patients, and many were advanced with the support from LLS. Forget someday. We're making cures happen today. Are you aware of how close we are to many new life-saving breakthroughs? Or how you can help?Find out at lls.org or call 1-888-HELP-LLS.The Leukemia & Lymphoma Society. Someday Is Today.",1
"When a child has a life-threatening illness, most people concede there's nothing that can be done. But there is. Each child has a dream. Or a need. Or a wish. The sole ambition of Make-A-Wish is to grant these wishes. You can make a contribution to help other children experience their dream come true. Call the Make-A-Wish Foundation at 1-800-722-WISH.",1
America has been poorly managed for far too long. It's time for real change. It's time for a bold visionary who is not afraid to say what he believes. A proven success in business. A leader who gets things done. It's time for an American that is ready to lead our country back to greatness.,1
"Teenagers are at a critical point in building the academic foundation for the rest of their lives. But experts agree, marijuana has no place in the equation for success. Don't let drugs compromise your child's ability to learn. Parents. The Anti-Drug.",1
"It's not half as uncomfortable as talking to your kids about sex. But just as important. Talking to your kids about marijuana can clear up a lot of the questions they might have. And the ones you might have, too. Talking about marijuana can also make your kids feel more at ease in dealing with it when they have to, which is probably more often than you think. Besides, after everything else you've talked to them about, it's not as uncomfortable as you might expect. For more information and a fact-filled booklet, call 1-800-788-2800",1
In honor of those who paid the ultimate price...protecting the freedom we enjoy today.We remember.Submitted by TxTom,1
"Memorial Day Weekend. The start of summer.A three day weekend of furniture and car sales, barbeques and gatherings with friends and family.But it's not just about that. It's about honoring the fallen. The ones who gave all, so we can live free.This Memorial Day, pause for the National Moment of Remembrance.Display the flag proudly.Visit a national cemetery or memorial.Pray for the fallen, the men and women serving now, and our nation.We honor, we remember, and then we celebrate.Learn more about Memorial Day at Memorial Day Foundation dot org.In memory of many, in honor of all.",1
A Life's calling. Nurses @ Memorial Sloan Kettering Cancer Center collaborate with the world's most distinguished practitioners in cancer care. Our professional practice model enables nurses to affect patient outcomes by empowering them with more autonomy and providing an atmosphere of mutual respect and unparalleled excellence. Memorial Sloan Kettering Cancer Center.,1
"Children diagnosed with cancer need specialized care right from the start. That's why, if the diagnosis is cancer, you should call Memorial Sloan-Kettering Cancer Center, first. Our team of specialists treats more children with cancer than any other hospital in the nation. With expertise and compassion, we are devoted to helping and healing children with cancer. So if someone you love is diagnosed with cancer, call us first for the help -and hope- you need. 1-800-525-2225. Memorial Sloan-Kettering Cancer Center. The Best Cancer Care. Anywhere.",1
"The ""Golden Years."" Too often, the ""golden years"" can mean mean a tight budget, loneliness, depression, and yes, hunger. Consider a donation of money, your time, or both to the Mid-Columbia Meals on Wheels program. To find out how you can help your elderly neighbors, call Meals on Wheels at 735-1911, or visit them on line at Home Delivered Meals dot org. You can help take the tarnish off the ""golden years.""",1
"How do kids get alcohol? From legal aged friends and even siblings. Talk with your kids and get a free copy of ""let's keep talking"" at millerbrewing.com Live responsibily...Miller Brewing Company. Milwakee, Wisconsin.",1
"Your baby is beautiful. And may be the picture of health. But there's also a one in four chance he or she isn't up-to-date with immunizations. One in four. Your child needs more than 12 shots over the course of five visits, before the age of two. So never assume your baby is on schedule. Ask your doctor at every visit. That way, you'll be certain you're giving your child a fair shot. And that's the most beautiful thing of all. For more information, please call the National Immunization Information Hotline at 1-800-232-2522.",1
"One of the few times we are aware of movement is when it suddenly stops. Multiple Sclerosis stops people from moving. We exist to make sure it doesn't. With the help of people like you, the National MS Society addresses the challenges of each person whose life is affected by MS...and helps them stay connected to the great big moving world. Join the movement at NationalMSSociety.org (pronounced National MS Society dot org).Specifics: 30sec radio spot. Original had music bed that did not have a lead in or lead out. Vocals extended to the full 30sec.Contributed by TxTom",1
"You're the kind of parent who would do anything for your child. And so would we. We're National PTA, and we support better education, more resources, and safer schools in the life of every child. Because from homework to recess, from friendships to family, your child's development never stops. And neither will we. Come join National PTA.",1
"AirIt's much better fresh ... cold ... or warm. If it's not clear, it can make you sick. Animals, trees, insects, and plants use it too. What is it? It's air. That substance that none of us can live without. THE NATIONAL WILDLIFE FEDERATION is doing its part in America's quest for a healthy environment. You can too. Don't pollute the environment. Our survival is at stake.",1
